runtime,imdb_rating,imdb_num_votes,critics_score,feature_film,drama,mpaa_rating_R,oscar_season,summer_season,audience_score
110.0,6.2,83424,14,1,0,1,0,1,44
114.0,6.3,1803,67,1,1,1,0,1,65
90.0,7.7,56919,55,1,1,0,0,1,78
106.0,7.5,10250,97,1,1,1,0,1,87
118.0,4.9,18005,12,1,0,1,0,0,22
98.0,5.9,62773,40,1,1,1,0,1,35
94.0,7.2,15444,98,1,0,1,0,0,80
99.0,7.0,48756,83,1,1,0,0,0,79
89.0,5.6,14986,19,1,0,0,0,1,32
86.0,4.7,13525,8,1,0,1,0,0,44
127.0,7.1,246343,60,1,1,0,1,0,73
110.0,6.7,290958,72,1,0,1,0,1,69
123.0,7.1,3146,89,1,1,1,0,0,71
100.0,5.5,10886,25,1,0,1,0,0,39
94.0,7.2,96471,55,1,0,1,1,0,82
106.0,5.9,17101,20,1,1,0,0,0,46
40.0,7.0,723,100,0,0,0,1,0,68
152.0,7.7,106171,81,1,1,0,1,0,87
136.0,7.2,88777,65,1,1,0,0,0,85
122.0,7.7,294683,72,1,1,1,1,0,89
118.0,6.8,51534,88,1,1,1,1,0,71
112.0,6.9,3487,77,1,1,1,0,1,62
128.0,7.1,5115,88,1,0,1,1,0,68
92.0,6.9,15449,97,1,1,0,0,0,80
106.0,5.7,2181,75,1,0,0,0,1,34
132.0,6.2,9832,77,1,0,0,0,1,81
124.0,7.2,247105,48,1,1,1,0,0,80
119.0,8.0,13614,95,0,0,1,0,1,89
96.0,6.2,78297,42,1,1,0,1,0,72
95.0,7.6,4369,89,1,1,0,0,0,86
107.0,4.9,6765,31,1,0,0,0,1,29
122.0,6.6,16137,83,1,0,0,0,0,59
109.0,7.3,101850,82,1,1,1,0,0,81
107.0,7.1,504,86,0,0,0,0,1,71
94.0,7.4,1935,100,0,0,0,1,0,94
109.0,6.4,15116,82,1,0,1,0,0,54
139.0,7.3,183717,85,1,1,1,1,0,79
104.0,7.5,64873,59,1,1,1,0,1,82
109.0,7.7,20738,92,1,1,0,1,0,87
81.0,7.6,123769,72,1,0,1,0,0,87
127.0,7.0,79866,67,1,0,0,0,1,71
83.0,7.6,160237,92,1,0,0,0,0,88
94.0,6.3,24595,49,1,0,0,1,0,50
112.0,7.0,16883,89,1,0,0,0,1,70
93.0,8.4,390,95,0,0,0,0,0,92
91.0,6.9,19539,42,1,0,1,0,1,70
116.0,5.7,48718,53,1,0,0,0,1,38
89.0,6.1,26301,49,1,0,0,0,1,44
124.0,7.0,26943,56,1,0,1,1,0,80
94.0,6.7,4077,40,1,1,0,0,0,66
103.0,6.2,63511,22,1,1,1,0,0,55
80.0,7.5,27601,90,1,1,0,1,0,79
194.0,7.7,756602,88,1,1,0,1,0,69
94.0,7.8,3998,93,0,0,1,0,1,91
112.0,6.0,19898,46,1,1,1,0,0,38
107.0,6.9,10786,68,1,1,1,0,0,67
97.0,6.9,2857,71,1,1,0,0,0,58
89.0,7.8,9675,88,0,0,0,0,0,89
91.0,7.6,7545,87,1,1,1,0,1,88
82.0,4.5,2113,9,1,0,1,0,0,52
90.0,7.5,3448,100,1,1,1,0,1,89
100.0,6.0,2441,46,1,1,1,0,0,55
108.0,6.2,12402,63,1,1,0,0,1,53
90.0,5.7,3373,25,1,0,0,0,1,65
96.0,4.9,6322,14,1,0,0,0,0,33
91.0,7.3,9906,63,1,0,0,0,1,74
113.0,7.2,15025,91,1,1,0,0,1,78
95.0,7.1,30826,77,1,0,1,1,0,73
134.0,7.9,309896,93,1,1,0,1,0,89
104.0,5.4,7284,7,1,0,1,0,0,35
121.0,6.7,58907,67,1,0,1,1,0,70
112.0,5.6,57251,11,1,0,0,0,0,48
85.0,2.8,3790,8,1,0,0,0,0,18
119.0,5.7,8818,26,1,1,1,0,0,41
99.0,4.3,11125,6,1,0,1,0,1,22
142.0,7.3,675907,84,1,1,0,0,0,81
95.0,4.9,2120,40,1,1,1,1,0,35
99.0,6.8,111132,35,1,1,0,0,1,73
133.0,8.1,103378,94,1,1,1,1,0,95
100.0,6.1,13682,17,1,1,1,0,1,37
99.0,5.9,63672,19,1,0,0,0,1,40
112.0,7.1,6946,85,1,1,1,0,1,72
136.0,6.4,3584,38,1,1,0,0,0,55
92.0,5.3,54363,27,1,0,0,1,0,65
103.0,7.7,11197,95,0,0,0,1,0,81
114.0,7.4,96787,90,1,1,1,0,0,81
88.0,6.8,16366,77,1,0,0,0,1,73
88.0,7.2,134270,88,1,1,0,0,1,74
116.0,5.2,11657,36,1,1,0,1,0,35
97.0,5.9,8345,44,1,1,0,0,1,26
82.0,6.7,46794,29,1,0,1,0,0,81
87.0,5.9,10087,80,1,0,1,0,0,52
120.0,5.8,66054,31,1,0,0,0,1,34
97.0,4.2,43574,17,1,0,0,0,1,51
