weight,height,sex,exercise,fruit_per_day,vege_per_day
270,72,Male,Yes,2,1
172,66,Female,No,2,1
250,66,Female,Yes,2,2
115,63,Male,No,0,0
150,65,Female,Yes,2,1
150,63,Female,No,1,1
160,64,Female,Yes,1,1
180,67,Male,Yes,1,1
120,62,Female,Yes,3,1
200,71,Male,Yes,3,1
210,70,Male,Yes,2,0
180,68,Female,Yes,2,3
175,64,Male,Yes,0,0
160,70,Male,Yes,1,0
160,62,Female,Yes,1,1
160,67,Male,No,1,0
110,60,Female,Yes,2,2
298,66,Female,Yes,3,1
165,67,Male,Yes,6,2
210,75,Male,Yes,1,2
175,72,Male,Yes,1,1
205,72,Male,Yes,1,2
325,76,Male,No,1,1
190,66,Male,Yes,1,1
150,68,Male,Yes,0,0
304,72,Male,Yes,1,1
190,68,Male,Yes,1,1
170,66,Male,No,1,1
140,65,Male,Yes,0,0
160,65,Female,Yes,1,1
130,65,Female,Yes,2,2
210,61,Female,Yes,1,0
120,64,Female,Yes,1,1
200,72,Male,Yes,1,1
118,61,Female,Yes,2,2
210,70,Male,No,1,0
110,63,Female,Yes,3,1
200,72,Male,Yes,1,1
215,73,Male,Yes,2,1
117,65,Female,Yes,3,2
178,66,Male,Yes,1,1
185,68,Male,Yes,1,1
196,63,Female,No,2,1
215,73,Male,Yes,0,0
168,69,Male,Yes,6,3
240,72,Male,No,4,2
212,72,Male,Yes,1,0
138,62,Female,Yes,2,0
152,67,Female,Yes,1,1
172,73,Male,Yes,2,1
165,72,Male,Yes,1,1
205,74,Male,No,0,0
122,66,Female,Yes,4,2
220,71,Male,No,3,1
180,63,Female,Yes,1,1
185,70,Male,Yes,2,1
190,70,Male,Yes,3,2
185,71,Male,Yes,1,1
148,71,Male,Yes,2,2
175,68,Female,Yes,3,1
175,68,Male,Yes,3,1
160,67,Female,Yes,5,4
170,63,Female,No,2,1
235,56,Female,No,0,0
250,77,Male,Yes,1,1
190,60,Female,Yes,0,0
128,66,Female,No,0,1
208,72,Male,Yes,1,1
182,68,Male,Yes,1,1
145,64,Female,No,1,1
125,62,Female,Yes,1,2
250,72,Male,Yes,2,0
180,66,Female,No,1,1
240,67,Female,No,1,1
185,66,Male,No,2,1
136,66,Female,Yes,2,2
160,68,Male,Yes,4,2
277,77,Male,No,1,2
217,76,Male,Yes,5,3
225,72,Male,Yes,1,1
170,70,Male,No,0,0
145,61,Female,Yes,1,1
151,60,Female,No,3,1
280,65,Male,No,1,1
145,65,Female,No,0,0
128,63,Female,Yes,3,2
125,64,Female,Yes,3,1
180,68,Female,Yes,2,1
215,63,Female,Yes,1,1
230,62,Female,No,2,2
200,66,Female,Yes,2,1
165,69,Male,Yes,1,1
105,63,Female,Yes,3,1
235,72,Male,Yes,1,1
180,70,Male,No,1,1
156,65,Female,No,1,0
203,71,Female,Yes,2,1
125,64,Female,Yes,1,1
212,72,Male,Yes,0,0
130,63,Female,Yes,1,1
160,62,Female,No,1,0
151,66,Male,Yes,1,1
190,72,Male,Yes,1,1
254,64,Female,No,7,0
180,71,Male,Yes,2,1
145,72,Male,Yes,1,2
175,69,Male,Yes,1,2
140,63,Male,Yes,1,1
170,71,Male,No,0,1
187,74,Male,Yes,2,1
140,67,Female,Yes,2,2
220,76,Male,No,0,1
202,72,Male,Yes,2,1
157,67,Male,Yes,2,2
165,63,Female,Yes,2,1
134,59,Female,Yes,2,1
130,67,Female,Yes,3,1
160,65,Male,No,2,2
185,64,Female,No,1,2
129,64,Female,Yes,4,3
250,66,Male,No,1,1
147,66,Female,Yes,1,1
115,64,Female,Yes,3,2
148,62,Female,Yes,2,2
170,69,Male,No,1,1
175,64,Female,Yes,3,2
110,62,Male,Yes,3,1
111,58,Female,Yes,1,0
165,66,Female,Yes,2,2
147,67,Male,Yes,2,1
200,64,Female,Yes,2,1
205,68,Male,Yes,2,1
150,61,Female,Yes,1,2
180,71,Male,Yes,1,0
143,62,Female,No,2,2
160,70,Male,Yes,1,1
208,72,Male,Yes,2,1
190,72,Male,Yes,2,1
200,64,Female,Yes,1,1
140,70,Male,Yes,1,1
158,63,Female,No,2,1
200,68,Female,Yes,3,1
115,62,Female,Yes,1,1
210,75,Male,Yes,1,1
198,69,Male,Yes,3,3
204,65,Female,Yes,2,2
140,65,Female,No,0,0
180,70,Male,Yes,1,1
133,66,Female,Yes,1,1
203,68,Male,Yes,2,0
160,64,Female,Yes,3,2
150,60,Female,No,1,1
210,66,Female,Yes,2,1
145,63,Female,No,3,2
128,64,Female,Yes,1,1
160,65,Female,Yes,1,1
138,63,Female,Yes,1,1
168,64,Female,Yes,1,2
220,67,Male,Yes,1,1
186,65,Female,Yes,2,1
115,58,Female,No,3,3
157,64,Female,No,6,1
175,65,Female,Yes,2,2
130,63,Female,No,1,1
200,67,Female,Yes,3,1
198,71,Male,Yes,0,0
208,71,Male,No,0,0
199,69,Male,Yes,1,1
213,67,Female,Yes,2,1
190,73,Male,Yes,2,2
172,70,Male,No,0,0
180,69,Female,No,1,1
246,76,Male,Yes,1,1
220,71,Male,No,0,0
160,61,Female,Yes,2,1
165,69,Male,Yes,2,1
160,62,Female,Yes,2,1
140,65,Female,Yes,1,1
170,70,Male,Yes,4,3
120,63,Female,Yes,0,1
170,67,Male,Yes,3,3
200,64,Female,No,1,1
112,60,Female,Yes,2,1
118,64,Female,Yes,3,2
206,73,Male,Yes,1,1
150,62,Female,Yes,3,1
200,69,Male,Yes,1,1
187,65,Male,No,0,0
127,59,Female,No,1,1
180,66,Female,No,1,1
200,66,Male,No,3,2
135,64,Female,Yes,2,1
240,66,Female,No,3,2
170,66,Female,Yes,1,1
180,66,Male,Yes,0,0
224,66,Female,Yes,1,1
200,70,Male,No,1,1
199,62,Female,Yes,0,1
160,64,Female,No,4,0
195,60,Female,Yes,2,3
140,63,Female,Yes,3,2
175,73,Male,Yes,2,2
250,74,Male,Yes,3,2
220,71,Male,Yes,1,0
145,72,Male,Yes,0,0
160,70,Female,Yes,2,1
150,63,Female,No,4,1
157,67,Male,Yes,2,2
160,74,Male,No,0,0
175,66,Male,Yes,3,2
140,71,Male,No,1,1
204,63,Male,No,1,2
220,73,Male,Yes,1,0
200,67,Female,Yes,2,1
235,64,Female,No,1,0
135,65,Male,Yes,1,2
232,71,Male,Yes,1,0
168,69,Male,Yes,1,1
175,63,Female,Yes,2,1
127,67,Female,Yes,1,2
170,74,Male,Yes,1,2
138,66,Female,Yes,2,1
235,67,Male,Yes,1,1
170,72,Female,Yes,4,1
192,71,Male,Yes,1,1
200,67,Female,Yes,2,2
150,68,Male,Yes,1,1
195,71,Male,Yes,3,1
200,60,Female,No,1,1
181,69,Male,Yes,2,1
140,64,Female,Yes,2,2
151,67,Male,Yes,0,0
113,65,Female,Yes,2,2
180,64,Female,Yes,2,2
170,69,Male,Yes,2,1
215,69,Male,Yes,0,0
139,67,Female,Yes,2,1
170,63,Female,Yes,1,1
200,63,Female,Yes,3,2
155,63,Female,No,1,1
200,65,Female,Yes,1,1
125,69,Female,Yes,1,1
200,78,Male,No,0,1
180,73,Male,Yes,1,1
200,71,Male,No,0,0
165,65,Female,Yes,5,1
128,61,Female,Yes,1,1
186,63,Female,Yes,1,1
160,63,Female,Yes,3,1
110,66,Male,Yes,0,0
190,69,Male,Yes,1,1
142,59,Female,Yes,3,1
180,72,Male,Yes,5,0
118,63,Female,Yes,2,1
260,70,Male,Yes,0,0
265,75,Male,Yes,1,1
150,63,Female,Yes,2,3
148,65,Female,Yes,3,1
180,64,Male,No,0,0
170,67,Male,No,1,1
175,69,Male,Yes,1,1
180,66,Female,No,4,1
163,67,Male,Yes,2,1
175,66,Female,Yes,2,1
232,64,Male,Yes,3,1
240,68,Female,Yes,2,1
181,70,Male,Yes,1,1
128,65,Female,Yes,2,1
208,75,Male,Yes,2,4
205,76,Male,Yes,2,2
184,73,Male,No,1,1
170,65,Female,Yes,2,1
185,70,Male,No,0,0
141,68,Male,Yes,1,0
180,68,Female,Yes,2,2
221,62,Female,Yes,1,0
140,66,Female,Yes,1,2
190,63,Female,No,2,2
136,60,Female,Yes,1,0
155,65,Female,Yes,1,1
145,67,Female,Yes,1,1
133,62,Female,Yes,2,2
150,68,Male,No,1,1
124,64,Female,Yes,3,1
110,61,Female,Yes,2,1
155,58,Female,No,1,0
180,64,Female,Yes,2,2
130,63,Female,Yes,2,0
145,67,Female,Yes,2,2
138,67,Male,Yes,1,1
155,66,Female,No,2,2
180,69,Female,Yes,2,2
130,60,Female,Yes,2,2
165,68,Male,Yes,2,0
190,66,Male,No,0,0
160,67,Female,Yes,2,2
128,66,Female,Yes,2,2
152,66,Female,Yes,1,1
115,61,Female,Yes,3,1
170,73,Male,Yes,2,2
186,70,Male,Yes,1,1
195,66,Female,Yes,1,1
122,66,Female,Yes,2,1
150,65,Female,Yes,2,1
212,70,Male,Yes,0,0
235,70,Male,Yes,3,1
175,63,Female,Yes,1,2
130,65,Female,Yes,3,1
160,70,Male,No,1,1
200,66,Female,No,1,1
229,70,Male,No,1,2
260,75,Male,Yes,1,2
135,66,Male,Yes,2,0
125,63,Female,Yes,2,2
137,63,Female,Yes,3,2
178,66,Male,Yes,2,1
160,58,Female,Yes,2,2
203,72,Male,Yes,1,1
200,71,Male,Yes,1,1
235,70,Male,No,0,1
170,66,Female,Yes,1,3
190,71,Male,No,0,1
162,65,Female,No,1,1
116,61,Female,Yes,1,1
240,67,Female,Yes,3,1
140,65,Female,Yes,2,1
182,63,Female,Yes,3,2
130,69,Male,Yes,2,1
165,71,Male,Yes,3,2
135,64,Female,Yes,1,1
140,62,Female,Yes,1,1
265,68,Male,Yes,1,1
122,67,Female,Yes,2,1
107,62,Female,Yes,1,1
154,63,Female,Yes,3,1
145,66,Male,Yes,1,1
283,72,Female,Yes,4,1
159,64,Male,Yes,1,1
179,61,Female,No,1,1
125,65,Female,Yes,1,1
200,71,Male,No,1,0
145,68,Male,Yes,1,1
245,67,Male,Yes,1,0
98,61,Female,Yes,1,1
145,67,Female,Yes,1,1
240,70,Male,Yes,3,1
158,73,Female,Yes,3,1
185,72,Male,Yes,2,1
150,64,Female,Yes,4,2
192,68,Male,Yes,0,0
160,68,Female,Yes,2,3
233,73,Male,No,0,0
156,67,Male,Yes,3,1
280,72,Male,Yes,1,1
130,66,Female,Yes,4,2
295,68,Female,Yes,2,1
192,68,Male,Yes,2,1
125,63,Female,Yes,1,1
185,66,Male,No,1,1
184,63,Female,Yes,1,0
130,64,Female,Yes,2,2
120,60,Female,No,3,2
168,70,Male,No,0,0
160,72,Male,Yes,1,1
150,66,Female,Yes,3,0
175,69,Female,Yes,3,1
165,72,Male,Yes,3,3
165,72,Male,No,2,2
200,73,Male,Yes,1,1
107,63,Female,Yes,2,2
144,68,Female,Yes,3,5
230,72,Male,Yes,2,2
153,63,Female,Yes,1,0
230,69,Female,Yes,2,1
130,67,Female,Yes,2,2
155,63,Female,Yes,3,1
170,72,Male,Yes,2,3
230,68,Female,Yes,1,0
192,71,Male,No,1,1
275,65,Female,Yes,0,0
161,66,Female,Yes,1,0
190,65,Female,Yes,1,1
320,64,Female,Yes,3,1
180,66,Female,Yes,1,2
140,69,Male,Yes,0,3
221,67,Male,No,0,0
170,66,Female,Yes,2,1
205,67,Male,Yes,1,1
175,70,Male,Yes,2,2
185,71,Male,Yes,0,1
270,68,Male,No,1,1
129,62,Female,Yes,2,0
160,68,Female,Yes,1,3
155,63,Female,Yes,1,0
170,69,Female,Yes,1,1
222,70,Male,Yes,3,0
107,66,Male,Yes,1,1
200,72,Male,Yes,2,1
160,69,Female,Yes,0,1
130,60,Female,No,1,1
178,65,Male,Yes,2,2
150,67,Female,Yes,2,0
190,70,Female,Yes,2,1
205,69,Male,Yes,1,1
105,63,Female,Yes,1,1
170,70,Male,Yes,3,1
245,72,Male,No,1,0
193,65,Female,Yes,2,1
210,68,Male,Yes,1,1
145,60,Female,Yes,1,0
180,71,Male,No,2,1
108,62,Female,Yes,2,1
182,70,Female,Yes,5,3
141,66,Female,Yes,1,1
180,69,Female,Yes,1,2
266,73,Male,No,0,0
165,71,Male,No,1,1
143,63,Female,Yes,3,1
210,68,Male,Yes,1,0
127,62,Female,Yes,3,1
165,65,Male,No,0,0
175,72,Male,No,2,0
145,65,Female,Yes,1,1
153,60,Female,No,2,1
160,68,Female,Yes,1,1
170,65,Female,Yes,1,1
148,65,Female,Yes,0,1
137,61,Female,Yes,3,2
150,63,Female,Yes,3,1
132,65,Female,Yes,1,1
253,64,Female,No,1,1
180,70,Male,Yes,1,0
168,67,Female,Yes,3,2
165,72,Male,No,1,1
176,71,Male,Yes,2,2
120,64,Male,Yes,2,2
133,62,Female,Yes,1,0
200,72,Male,Yes,5,1
190,71,Male,No,1,0
175,68,Female,Yes,3,0
140,67,Female,No,2,1
190,73,Male,No,2,3
260,76,Male,Yes,1,1
115,63,Female,Yes,1,1
125,62,Female,Yes,2,2
190,69,Male,Yes,1,1
145,68,Female,Yes,2,1
135,69,Female,Yes,4,1
258,77,Male,Yes,0,0
280,73,Male,Yes,0,0
160,63,Female,No,1,0
265,71,Male,Yes,3,2
158,64,Female,No,1,1
98,63,Female,Yes,3,3
217,75,Male,No,1,0
168,67,Male,Yes,2,1
175,66,Male,Yes,2,1
175,62,Female,Yes,1,2
180,72,Male,Yes,0,0
220,74,Male,Yes,1,0
170,63,Female,Yes,1,1
102,62,Male,Yes,1,1
155,60,Female,Yes,3,1
150,64,Male,Yes,2,2
170,67,Female,Yes,1,0
150,68,Male,Yes,2,2
137,65,Female,Yes,1,1
140,65,Female,No,0,0
120,63,Female,Yes,1,1
176,64,Female,No,1,0
115,64,Female,No,0,1
230,72,Male,Yes,6,6
160,66,Female,Yes,1,2
135,68,Female,Yes,1,1
150,66,Female,No,2,1
200,68,Female,No,2,2
145,68,Female,Yes,2,1
197,66,Female,No,1,1
189,67,Female,Yes,2,1
185,67,Male,No,0,0
125,61,Female,Yes,3,2
120,66,Female,No,1,1
105,62,Female,No,2,0
185,74,Male,Yes,2,2
130,63,Female,Yes,1,1
260,67,Female,Yes,1,1
125,65,Female,Yes,1,1
170,71,Male,No,2,1
200,68,Female,Yes,1,1
160,70,Male,Yes,1,1
135,61,Female,Yes,2,2
240,71,Male,Yes,4,1
205,77,Male,Yes,2,1
325,74,Male,Yes,3,3
90,72,Male,No,0,0
160,65,Female,Yes,2,1
236,71,Male,No,0,0
177,71,Male,Yes,4,2
165,65,Female,Yes,2,1
197,73,Male,Yes,3,1
125,62,Female,Yes,1,1
165,72,Male,Yes,1,2
165,62,Female,Yes,1,1
138,62,Female,Yes,1,1
135,63,Female,Yes,1,2
230,74,Male,Yes,2,1
160,70,Male,Yes,1,1
119,60,Female,Yes,1,2
132,65,Female,Yes,3,1
130,62,Female,No,2,1
120,62,Female,Yes,1,1
204,74,Male,Yes,1,1
140,63,Female,No,3,2
150,65,Male,Yes,3,2
170,72,Male,Yes,2,1
221,67,Female,No,1,1
150,65,Female,Yes,2,0
240,72,Male,Yes,1,0
205,72,Male,Yes,2,5
190,64,Female,No,1,1
165,70,Male,Yes,1,0
200,71,Male,Yes,1,3
125,63,Female,Yes,1,1
215,73,Male,No,1,0
127,63,Female,No,1,1
135,65,Female,Yes,3,2
180,67,Female,Yes,2,1
200,67,Female,Yes,1,1
160,68,Female,Yes,1,1
165,70,Female,Yes,1,1
220,64,Female,Yes,1,1
120,69,Female,Yes,4,2
190,69,Male,Yes,2,1
126,64,Female,Yes,3,6
190,65,Female,Yes,4,1
115,70,Female,Yes,2,1
160,68,Male,No,1,0
125,67,Female,Yes,3,1
158,63,Female,Yes,1,2
200,70,Female,No,4,2
160,66,Male,Yes,1,1
265,74,Male,Yes,4,3
150,64,Female,Yes,1,1
175,65,Female,Yes,2,1
190,66,Female,Yes,6,1
210,65,Female,Yes,2,0
166,63,Female,Yes,2,2
170,67,Female,Yes,2,1
280,73,Male,Yes,1,1
190,68,Female,No,1,2
196,73,Female,Yes,2,2
212,64,Female,Yes,2,2
140,60,Female,Yes,3,2
155,67,Male,Yes,1,1
181,68,Male,Yes,1,1
150,68,Male,Yes,1,0
150,70,Male,Yes,2,1
180,67,Male,Yes,3,3
130,66,Female,Yes,5,2
200,62,Female,Yes,1,1
150,68,Female,Yes,1,1
160,64,Female,Yes,1,1
202,74,Male,Yes,3,2
164,65,Female,Yes,2,1
140,61,Female,No,1,1
150,65,Female,Yes,4,2
130,67,Female,Yes,2,1
340,70,Male,Yes,7,2
155,69,Male,Yes,1,1
196,71,Male,No,1,1
161,60,Female,Yes,2,1
97,61,Female,Yes,3,2
150,63,Female,No,2,2
185,70,Male,Yes,5,2
285,78,Male,No,3,2
171,66,Male,Yes,1,1
154,62,Female,Yes,2,1
180,68,Male,Yes,1,1
215,69,Male,Yes,5,0
150,67,Male,No,0,0
158,70,Male,Yes,0,0
150,70,Male,Yes,2,2
163,71,Male,Yes,2,1
160,63,Female,Yes,1,1
180,60,Female,Yes,2,0
181,49,Female,No,1,1
180,70,Male,Yes,2,1
220,69,Male,Yes,0,0
140,66,Male,Yes,1,1
123,64,Female,Yes,3,1
152,63,Female,No,1,2
150,65,Female,Yes,1,1
165,68,Male,No,0,0
190,63,Female,Yes,2,0
201,69,Male,No,1,1
150,68,Female,Yes,1,1
205,72,Male,No,1,3
128,65,Female,Yes,2,2
160,67,Male,Yes,4,2
150,67,Female,Yes,1,1
175,63,Female,Yes,2,1
200,66,Female,Yes,3,1
210,73,Male,Yes,1,0
195,68,Female,No,1,1
147,61,Female,Yes,1,1
230,75,Male,Yes,1,1
156,59,Female,Yes,1,1
120,61,Female,Yes,2,1
200,72,Male,Yes,2,1
155,60,Female,Yes,1,1
125,64,Female,Yes,1,1
200,74,Male,Yes,0,0
210,66,Female,Yes,2,2
170,68,Male,Yes,3,1
139,66,Female,Yes,2,1
164,68,Female,Yes,5,3
175,64,Female,Yes,1,2
260,70,Male,Yes,0,0
190,66,Male,No,1,0
140,70,Male,Yes,3,0
265,68,Male,No,1,1
165,65,Female,Yes,0,0
185,72,Male,Yes,1,1
180,63,Female,Yes,2,0
260,66,Female,Yes,2,0
200,70,Male,Yes,3,3
185,72,Male,No,1,0
170,69,Female,Yes,2,3
137,66,Female,No,2,1
145,67,Female,Yes,2,1
175,64,Female,No,0,0
165,66,Female,Yes,1,1
115,63,Female,No,0,0
185,66,Male,Yes,1,3
190,69,Male,Yes,1,0
130,60,Female,No,3,1
268,67,Male,No,0,0
150,63,Female,Yes,1,2
148,69,Female,Yes,1,1
220,72,Male,Yes,2,1
160,72,Male,Yes,2,2
150,71,Female,Yes,1,1
195,65,Female,No,1,0
118,59,Female,Yes,1,1
175,76,Male,Yes,3,1
138,60,Female,Yes,1,2
258,66,Female,Yes,2,1
179,72,Male,Yes,2,1
170,66,Female,No,2,1
160,70,Male,Yes,1,1
230,73,Male,No,2,2
165,68,Male,Yes,2,1
190,70,Male,Yes,2,1
166,64,Female,No,3,1
120,60,Female,Yes,1,1
165,70,Male,Yes,1,2
204,71,Male,Yes,4,2
236,73,Male,Yes,1,1
135,65,Female,Yes,2,2
119,56,Female,Yes,1,0
204,70,Male,Yes,0,1
180,72,Male,No,2,1
200,62,Female,No,0,0
198,66,Female,Yes,1,1
127,66,Female,Yes,2,1
150,69,Female,Yes,1,1
205,74,Male,Yes,3,2
228,69,Male,Yes,1,1
140,68,Female,Yes,3,1
175,72,Male,Yes,2,1
210,71,Male,Yes,2,2
135,67,Female,Yes,2,1
116,64,Female,Yes,3,2
200,66,Female,Yes,2,1
130,64,Male,Yes,1,1
132,65,Female,Yes,1,1
200,58,Female,No,2,1
133,66,Male,Yes,1,1
215,69,Male,No,2,0
155,69,Male,Yes,1,1
175,69,Male,Yes,5,2
138,67,Female,Yes,0,0
125,63,Female,Yes,3,1
340,68,Male,Yes,1,0
158,62,Female,Yes,1,2
190,74,Male,Yes,1,1
140,72,Male,No,2,2
190,64,Female,No,1,1
215,73,Male,No,1,0
190,71,Male,Yes,2,2
170,71,Male,Yes,2,1
175,72,Male,Yes,1,1
168,70,Male,Yes,2,2
185,70,Male,Yes,1,1
202,64,Female,Yes,1,2
178,68,Male,Yes,1,1
205,71,Male,Yes,2,1
155,66,Female,Yes,1,1
160,66,Female,No,0,0
225,69,Male,Yes,1,1
120,61,Female,Yes,2,2
160,62,Female,Yes,3,1
215,71,Male,Yes,3,2
200,65,Female,Yes,2,2
198,74,Male,Yes,1,1
170,66,Male,No,0,0
175,67,Female,Yes,3,2
170,63,Female,Yes,2,1
230,71,Male,Yes,2,1
148,65,Female,Yes,3,2
125,63,Female,Yes,2,1
185,72,Male,Yes,1,0
160,68,Female,Yes,2,1
219,72,Male,Yes,3,2
213,70,Male,Yes,1,1
185,63,Female,Yes,2,1
185,69,Male,Yes,2,1
183,71,Male,Yes,3,1
187,71,Male,Yes,1,1
200,74,Male,Yes,2,1
200,65,Female,No,2,2
160,67,Female,Yes,5,1
200,74,Male,No,0,0
185,66,Male,Yes,1,0
140,62,Female,Yes,2,1
155,65,Male,Yes,1,1
165,68,Male,Yes,0,0
175,64,Female,Yes,1,1
208,66,Female,No,1,1
155,71,Male,Yes,1,1
111,61,Female,Yes,2,2
117,64,Female,Yes,1,1
200,70,Male,Yes,3,1
150,65,Female,No,1,5
195,62,Female,No,1,0
103,61,Female,Yes,2,1
115,63,Female,Yes,3,1
230,74,Male,Yes,2,0
150,72,Male,No,2,0
142,61,Female,Yes,2,1
150,64,Female,Yes,1,2
183,67,Female,Yes,1,1
130,67,Female,Yes,4,3
380,68,Male,No,0,0
200,64,Female,Yes,1,1
132,66,Female,Yes,1,1
235,70,Male,Yes,2,1
170,68,Male,No,2,2
155,61,Female,No,2,1
157,70,Male,Yes,3,3
195,71,Male,Yes,1,1
150,69,Male,Yes,1,1
104,66,Female,No,3,2
215,73,Male,No,1,1
176,61,Female,No,3,2
129,61,Female,Yes,2,1
175,74,Male,Yes,1,1
125,60,Male,No,1,0
205,72,Male,No,0,0
125,60,Female,Yes,3,1
180,72,Male,Yes,2,1
195,71,Male,Yes,0,1
160,72,Male,Yes,0,0
125,66,Female,Yes,1,2
166,68,Male,Yes,1,1
175,69,Male,Yes,1,1
150,64,Female,Yes,2,1
170,66,Male,No,1,0
162,69,Male,No,1,1
150,65,Female,Yes,1,1
180,70,Male,Yes,2,1
208,62,Female,Yes,0,1
145,63,Female,Yes,0,1
180,72,Male,Yes,3,1
120,66,Female,Yes,0,1
135,60,Female,Yes,1,1
180,65,Male,Yes,4,3
110,60,Female,No,1,1
134,63,Female,Yes,1,1
235,72,Male,Yes,2,0
128,63,Female,Yes,1,3
160,68,Female,Yes,5,2
140,65,Female,Yes,1,2
170,72,Male,Yes,6,2
143,67,Female,Yes,3,1
190,69,Male,Yes,2,5
190,65,Female,Yes,2,2
153,71,Male,Yes,1,1
155,70,Male,No,1,1
150,66,Female,Yes,3,1
200,70,Male,Yes,1,1
150,60,Female,Yes,1,1
202,70,Male,Yes,2,1
195,73,Male,Yes,1,1
170,70,Male,Yes,2,1
135,63,Female,Yes,1,1
180,71,Male,Yes,1,1
145,65,Male,Yes,2,3
254,71,Male,Yes,4,2
195,73,Male,No,1,1
140,65,Female,Yes,2,1
145,62,Female,Yes,1,1
138,65,Female,Yes,2,1
126,64,Female,Yes,5,2
130,70,Female,Yes,1,2
165,65,Female,No,1,1
190,70,Male,Yes,1,1
110,63,Female,No,3,1
205,73,Male,Yes,2,1
182,70,Male,Yes,3,2
168,67,Male,No,2,1
156,67,Male,Yes,1,1
100,73,Male,Yes,1,1
150,64,Female,Yes,2,2
141,63,Female,Yes,1,0
185,74,Male,Yes,1,1
150,63,Female,Yes,1,1
164,68,Male,Yes,1,1
185,71,Male,Yes,1,1
280,64,Female,Yes,1,1
120,62,Female,Yes,1,1
128,64,Female,Yes,2,2
125,60,Female,No,1,1
127,65,Female,Yes,2,1
124,65,Female,Yes,1,1
210,70,Male,No,1,1
164,66,Female,Yes,2,1
236,62,Female,Yes,2,2
150,62,Female,Yes,1,2
155,72,Male,Yes,3,2
135,65,Male,Yes,2,1
264,70,Male,Yes,2,3
130,67,Female,Yes,1,1
121,71,Male,No,5,1
190,66,Male,Yes,1,1
130,62,Female,Yes,1,1
140,62,Female,Yes,1,2
165,68,Male,Yes,2,2
220,72,Male,Yes,1,0
200,70,Male,Yes,1,1
250,68,Male,Yes,1,1
140,64,Female,Yes,3,2
145,66,Male,Yes,1,1
110,67,Female,Yes,4,2
165,69,Male,Yes,2,1
140,63,Female,Yes,3,2
250,72,Male,No,0,0
138,65,Female,Yes,2,1
145,71,Male,Yes,5,2
120,66,Female,No,0,0
160,64,Female,Yes,1,2
128,67,Male,No,0,0
158,72,Male,Yes,1,0
252,66,Male,Yes,1,2
218,70,Male,Yes,0,1
165,62,Female,Yes,2,1
255,69,Male,No,0,0
200,64,Female,Yes,2,1
180,62,Female,Yes,3,1
145,64,Female,Yes,3,3
160,72,Male,Yes,1,1
155,73,Male,Yes,0,1
200,73,Male,Yes,2,1
120,60,Female,Yes,2,0
140,65,Female,Yes,2,2
284,71,Male,Yes,2,3
130,64,Female,Yes,4,2
97,56,Female,No,1,1
160,70,Female,Yes,1,1
250,68,Male,Yes,0,0
200,71,Male,Yes,2,1
190,71,Male,Yes,1,1
155,66,Female,Yes,2,1
135,64,Female,No,3,2
189,67,Female,Yes,1,1
200,76,Male,Yes,2,1
130,65,Female,Yes,1,1
185,72,Male,Yes,3,1
118,64,Male,Yes,0,0
153,64,Female,Yes,0,0
200,66,Female,Yes,2,1
175,65,Female,Yes,3,1
162,72,Female,Yes,1,2
110,59,Female,Yes,1,1
210,71,Male,No,0,0
205,70,Male,Yes,2,2
280,70,Male,No,0,0
125,60,Female,Yes,1,1
130,64,Female,Yes,1,2
230,71,Male,Yes,1,1
200,70,Female,Yes,3,1
180,68,Male,Yes,1,0
135,62,Female,Yes,1,1
135,67,Female,Yes,2,2
180,66,Female,Yes,2,2
200,74,Male,Yes,1,1
175,68,Male,Yes,1,1
130,66,Female,Yes,2,2
140,65,Female,Yes,5,1
150,60,Female,No,1,1
150,67,Female,Yes,1,1
154,67,Male,Yes,4,1
155,67,Male,No,1,1
200,69,Male,Yes,0,0
228,68,Female,Yes,2,1
235,73,Male,Yes,2,2
159,64,Female,Yes,2,1
190,69,Male,Yes,0,0
190,67,Female,Yes,2,2
160,62,Female,Yes,2,1
230,72,Male,Yes,2,1
112,62,Female,No,2,1
155,70,Male,Yes,1,1
135,61,Female,Yes,2,0
129,66,Female,Yes,4,1
185,68,Male,Yes,2,1
150,70,Male,Yes,1,0
145,61,Female,Yes,3,3
165,63,Male,No,1,1
162,69,Male,No,1,1
173,72,Male,Yes,1,0
190,66,Male,No,1,1
168,65,Female,Yes,1,1
155,70,Female,No,2,1
104,64,Female,Yes,2,2
130,65,Female,Yes,3,2
185,76,Male,Yes,2,0
150,71,Male,No,1,1
154,66,Male,Yes,1,1
235,72,Male,No,1,2
220,64,Female,No,0,0
135,65,Female,Yes,2,1
150,73,Male,Yes,1,1
160,67,Male,Yes,2,1
127,64,Female,Yes,3,2
200,64,Female,Yes,1,2
260,68,Male,No,2,1
135,65,Female,No,2,1
340,72,Male,No,2,0
164,63,Female,Yes,3,1
185,70,Male,Yes,1,1
200,73,Male,No,1,0
157,64,Female,No,1,1
182,65,Female,Yes,1,1
175,70,Male,Yes,3,2
175,72,Male,Yes,2,2
109,58,Female,Yes,3,0
240,63,Female,Yes,3,3
171,66,Male,No,0,0
110,63,Female,Yes,3,1
200,72,Male,Yes,2,1
200,70,Male,Yes,3,2
235,77,Male,Yes,1,1
180,67,Male,Yes,1,1
170,70,Female,Yes,5,1
200,76,Male,Yes,4,1
180,67,Male,Yes,2,0
250,68,Male,No,1,1
132,67,Female,Yes,1,1
